hash ocean.pico.overturning_coefficent ocean.pico.heat_exchange_coefficent
117638c5 10000.0 1e-06
61bc631f 10000.0 5e-06
b7ba74fd 10000.0 1e-05
6f6b7091 10000.0 1.5e-05
49c075df 10000.0 2e-05
f9731cba 10000.0 2.5e-05
d2857bd1 10000.0 3e-05
381d05ab 10000.0 3.5e-05
72497ff8 10000.0 4e-05
b96fbca1 10000.0 4.5e-05
6273bcc2 10000.0 5e-05
73c7ff45 10000.0 7.5e-05
a36cfa67 10000.0 0.0001
9d5665d8 10000.0 0.000125
792d72d2 50000.0 1e-06
4284fcc9 50000.0 5e-06
ddb66b42 50000.0 1e-05
6ad4f537 50000.0 1.5e-05
90fa02f4 50000.0 2e-05
90ed49a0 50000.0 2.5e-05
0cf00640 50000.0 3e-05
4099cd13 50000.0 3.5e-05
a533f4b7 50000.0 4e-05
c4cc13d5 50000.0 4.5e-05
1d22d649 50000.0 5e-05
0406948f 50000.0 7.5e-05
f1ec3249 50000.0 0.0001
d5d93917 50000.0 0.000125
ee8f65fd 100000.0 1e-06
857e9fd2 100000.0 5e-06
e89d93e7 100000.0 1e-05
346295d0 100000.0 1.5e-05
0bb82886 100000.0 2e-05
52bdd9bc 100000.0 2.5e-05
a50bb416 100000.0 3e-05
f45d006f 100000.0 3.5e-05
118dcc23 100000.0 4e-05
7b958a4c 100000.0 4.5e-05
19432721 100000.0 5e-05
c1ad85bb 100000.0 7.5e-05
81e0fcf4 100000.0 0.0001
56fcf892 100000.0 0.000125
4bbc33e4 250000.0 1e-06
9217ed61 250000.0 5e-06
d961c136 250000.0 1e-05
e9892e16 250000.0 1.5e-05
30c4c71c 250000.0 2e-05
c11a9715 250000.0 2.5e-05
00f1f609 250000.0 3e-05
e6e88d31 250000.0 3.5e-05
90385c09 250000.0 4e-05
e759e065 250000.0 4.5e-05
6f129339 250000.0 5e-05
9fa3a496 250000.0 7.5e-05
1eee4759 250000.0 0.0001
dd4f0e7f 250000.0 0.000125
f96f9687 500000.0 1e-06
6ab74315 500000.0 5e-06
6b295612 500000.0 1e-05
24db6904 500000.0 1.5e-05
2e5a39bb 500000.0 2e-05
f055de53 500000.0 2.5e-05
a105f269 500000.0 3e-05
a2bf2178 500000.0 3.5e-05
d8dcc279 500000.0 4e-05
d96c16d7 500000.0 4.5e-05
cb1a0a71 500000.0 5e-05
7829166a 500000.0 7.5e-05
6ecbdfae 500000.0 0.0001
cf27e2b5 500000.0 0.000125
4d94c9cb 750000.0 1e-06
a9049cee 750000.0 5e-06
7670384d 750000.0 1e-05
898de591 750000.0 1.5e-05
6c621226 750000.0 2e-05
c4bf0afc 750000.0 2.5e-05
f4da8470 750000.0 3e-05
e7341ef2 750000.0 3.5e-05
5054ce88 750000.0 4e-05
6db9c060 750000.0 4.5e-05
1df6b377 750000.0 5e-05
005bfa5e 750000.0 7.5e-05
537479ee 750000.0 0.0001
84bb2229 750000.0 0.000125
4c98f097 1000000.0 1e-06
3134f6da 1000000.0 5e-06
6fdad69c 1000000.0 1e-05
8653118f 1000000.0 1.5e-05
9a5dce77 1000000.0 2e-05
184d26c7 1000000.0 2.5e-05
f31ea783 1000000.0 3e-05
35812d3c 1000000.0 3.5e-05
824c2567 1000000.0 4e-05
8e5ff16e 1000000.0 4.5e-05
b34c6a9a 1000000.0 5e-05
b2f05118 1000000.0 7.5e-05
a87ef61f 1000000.0 0.0001
11d313c6 1000000.0 0.000125
ef56ff10 2500000.0 1e-06
c74b7ef8 2500000.0 5e-06
0cb13f1b 2500000.0 1e-05
